date,time,distance,cnt,pwm,uid
22/05/30,08:13:58,35,100,90,30
22/05/30,08:13:58,34,99,90,30
22/05/30,08:13:59,32,99,90,30
22/05/30,08:13:59,37,99,90,30
22/05/30,08:13:59,23,99,90,30
22/05/30,08:13:59,25,99,90,30
22/05/30,08:13:59,30,99,90,30
22/05/30,08:14:00,36,99,90,30
22/05/30,08:14:00,39,99,90,30
22/05/30,08:14:00,40,99,90,30
22/05/30,08:14:00,38,99,90,30
22/05/30,08:14:00,34,99,90,30
22/05/30,08:14:01,29,99,90,30
22/05/30,08:14:01,25,98,90,30
22/05/30,08:14:01,29,98,90,30
22/05/30,08:14:01,36,98,90,30
22/05/30,08:14:01,30,98,90,30
22/05/30,08:14:01,25,98,90,30
22/05/30,08:14:02,32,98,90,30
22/05/30,08:14:02,36,98,90,30
22/05/30,08:14:02,37,98,90,30
22/05/30,08:14:02,37,98,90,30
22/05/30,08:14:02,38,98,90,30
22/05/30,08:14:03,31,98,90,30
22/05/30,08:14:03,25,97,90,30
22/05/30,08:14:03,23,97,90,30
22/05/30,08:14:03,26,97,90,30
22/05/30,08:14:03,23,97,90,30
22/05/30,08:14:03,25,97,90,30
22/05/30,08:14:04,34,97,90,30
22/05/30,08:14:04,39,97,90,30
22/05/30,08:14:04,41,97,90,30
22/05/30,08:14:04,44,97,90,30
22/05/30,08:14:04,41,97,90,30
22/05/30,08:14:05,36,97,90,30
22/05/30,08:14:05,32,97,90,30
22/05/30,08:14:05,27,96,90,30
22/05/30,08:14:05,28,96,90,30
22/05/30,08:14:05,29,96,90,30
22/05/30,08:14:06,26,96,90,30
22/05/30,08:14:06,27,96,90,30
22/05/30,08:14:06,32,96,90,30
22/05/30,08:14:06,36,96,90,30
22/05/30,08:14:06,41,96,90,30
22/05/30,08:14:06,39,96,90,30
22/05/30,08:14:07,33,96,90,30
22/05/30,08:14:07,38,96,90,30
22/05/30,08:14:07,29,96,90,30
22/05/30,08:14:07,25,95,90,30
22/05/30,08:14:07,27,95,90,30
22/05/30,08:14:08,38,95,90,30
22/05/30,08:14:08,26,95,90,30
22/05/30,08:14:08,26,95,90,30
22/05/30,08:14:08,33,95,90,30
22/05/30,08:14:08,36,95,90,30
22/05/30,08:14:08,39,95,90,30
22/05/30,08:14:09,42,95,90,30
22/05/30,08:14:09,37,95,90,30
22/05/30,08:14:09,35,95,90,30
22/05/30,08:14:09,28,94,90,30
22/05/30,08:14:09,26,94,90,30
22/05/30,08:14:10,25,94,90,30
22/05/30,08:14:10,27,94,90,30
22/05/30,08:14:10,31,94,90,30
22/05/30,08:14:10,35,94,90,30
22/05/30,08:14:10,36,94,90,30
22/05/30,08:14:11,42,94,90,30
22/05/30,08:14:11,38,94,90,30
22/05/30,08:14:11,32,94,90,30
