date,time,distance,cnt,pwm,uid
22/06/16,14:52:35,34,100,90,50
22/06/16,14:52:35,34,99,90,50
22/06/16,14:52:35,34,99,90,50
22/06/16,14:52:36,36,99,90,50
22/06/16,14:52:36,28,99,90,50
22/06/16,14:52:36,27,99,90,50
22/06/16,14:52:36,31,99,90,50
22/06/16,14:52:36,36,99,90,50
22/06/16,14:52:36,37,99,90,50
22/06/16,14:52:37,46,99,90,50
22/06/16,14:52:37,50,99,90,50
22/06/16,14:52:37,54,99,90,50
22/06/16,14:52:37,53,99,90,50
22/06/16,14:52:37,43,99,90,50
22/06/16,14:52:38,41,99,90,50
22/06/16,14:52:38,38,99,90,50
22/06/16,14:52:38,33,99,90,50
22/06/16,14:52:38,29,98,90,50
22/06/16,14:52:38,27,98,90,50
22/06/16,14:52:38,31,98,90,50
22/06/16,14:52:39,27,98,90,50
22/06/16,14:52:39,31,98,90,50
22/06/16,14:52:39,32,98,90,50
22/06/16,14:52:39,38,98,90,50
22/06/16,14:52:39,39,98,90,50
22/06/16,14:52:40,44,98,90,50
22/06/16,14:52:40,52,98,90,50
22/06/16,14:52:40,53,98,90,50
22/06/16,14:52:40,48,98,90,50
22/06/16,14:52:40,46,98,90,50
22/06/16,14:52:41,38,98,90,50
22/06/16,14:52:41,37,98,90,50
22/06/16,14:52:41,35,98,90,50
22/06/16,14:52:41,28,97,90,50
22/06/16,14:52:41,29,97,90,50
22/06/16,14:52:41,30,97,90,50
22/06/16,14:52:42,26,97,90,50
22/06/16,14:52:42,27,97,90,50
22/06/16,14:52:42,30,97,90,50
22/06/16,14:52:42,37,97,90,50
22/06/16,14:52:42,42,97,90,50
22/06/16,14:52:43,46,97,90,50
22/06/16,14:52:43,52,97,90,50
22/06/16,14:52:43,43,97,90,50
22/06/16,14:52:43,39,97,90,50
22/06/16,14:52:43,38,97,90,50
22/06/16,14:52:43,30,97,90,50
22/06/16,14:52:44,28,96,90,50
22/06/16,14:52:44,23,96,90,50
22/06/16,14:52:44,25,96,90,50
22/06/16,14:52:44,27,96,90,50
22/06/16,14:52:44,28,96,90,50
22/06/16,14:52:45,34,96,90,50
22/06/16,14:52:45,37,96,90,50
22/06/16,14:52:45,39,96,90,50
22/06/16,14:52:45,46,96,90,50
22/06/16,14:52:45,49,96,90,50
22/06/16,14:52:46,44,96,90,50
22/06/16,14:52:46,38,96,90,50
22/06/16,14:52:46,37,96,90,50
22/06/16,14:52:46,30,96,90,50
22/06/16,14:52:46,30,95,90,50
22/06/16,14:52:46,27,95,90,50
22/06/16,14:52:47,26,95,90,50
22/06/16,14:52:47,25,95,90,50
22/06/16,14:52:47,28,95,90,50
22/06/16,14:52:47,34,95,90,50
22/06/16,14:52:47,40,95,90,50
22/06/16,14:52:48,42,95,90,50
22/06/16,14:52:48,45,95,90,50
22/06/16,14:52:48,53,95,90,50
